SWI,INTERSECT,ACCOMM,EDU,IMD2019Ind,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,DENSITY_R,DEN_0_17,DEN_18_64,DEN_65
11.0,40.0,0.0,5.0,8373.0,0.0,4.0,3.0,53.0,1.0,0.0,0.141618484174347,2445.3806630011672,4974.5293065531,550.9355643915674
1.0,16.0,0.0,1.0,7152.0,3.0,3.0,2.0,4.0,2.0,1.0,0.130695215992272,2406.782436554519,5231.31014809286,735.8013366192316
3.0,19.0,0.0,0.0,4126.0,0.0,10.0,3.0,12.0,1.0,0.0,0.155857316635785,2918.608812392483,6178.756953894725,962.519927491138
8.0,42.0,0.0,0.0,6002.0,0.0,4.0,6.0,12.0,1.0,0.0,0.149242005179376,2932.170592680225,5656.22182152668,707.6058370348178
6.0,34.0,0.0,5.0,3229.0,1.0,22.0,2.0,30.0,3.0,0.0,0.137213023602369,2870.340098853036,6384.4947993179685,1023.8440539522512
1.0,51.0,0.0,4.0,3355.0,3.0,7.0,3.0,35.0,2.0,1.0,0.165619695781126,3064.6392756778278,5862.19772821682,995.894594754981
10.0,25.0,0.0,0.0,8940.0,0.0,11.0,1.0,22.0,1.0,1.0,0.118897959716375,2418.4161473159693,4711.091420421403,800.5502324737438
3.0,41.0,0.0,1.0,10373.0,0.0,9.0,1.0,51.0,2.0,0.0,0.131479801496984,2362.1323597238097,4423.678056554838,577.2327951126878
25.0,51.0,0.0,0.0,8544.0,0.0,9.0,2.0,34.0,2.0,0.0,0.14734413763035,1893.984496161915,4176.053381204642,736.3652506969266
12.0,38.0,0.0,5.0,10925.0,0.0,17.0,6.0,37.0,0.0,0.0,0.127271845594798,1946.8567558664301,5134.925160919079,749.0694209374554
6.0,35.0,0.0,1.0,10601.0,1.0,14.0,3.0,27.0,3.0,0.0,0.242860145290733,3180.1317122811297,7368.597869919691,1118.2170451720233
3.0,48.0,0.0,3.0,11855.0,0.0,19.0,2.0,30.0,1.0,0.0,0.160608292882768,3082.6799521078246,5622.964317705538,803.8380634610277
4.0,31.0,0.0,2.0,29174.0,0.0,0.0,3.0,13.0,0.0,1.0,0.128137952510096,971.6943012050881,2832.917576675128,1028.8527895112697
2.0,59.0,0.0,2.0,27318.0,1.0,14.0,6.0,34.0,3.0,0.0,0.249843453133023,1866.2170906858512,4025.8132873310506,1214.2635218873006
1.0,55.0,0.0,2.0,24958.0,0.0,7.0,2.0,20.0,6.0,2.0,0.177968221247537,1080.4076185464874,3135.003005501465,1186.6274686844847
6.0,66.0,0.0,3.0,24743.0,1.0,1.0,10.0,15.0,1.0,0.0,0.206913751530104,1742.7040535983633,4530.32924999816,1213.2305886217982
1.0,40.0,0.0,5.0,22657.0,0.0,0.0,2.0,11.0,3.0,1.0,0.107403480344969,873.561903883681,2580.751453187789,856.0906658060075
3.0,24.0,0.0,1.0,29572.0,0.0,1.0,2.0,16.0,1.0,0.0,0.16091191580254,1394.72547991343,3525.8989270967836,1193.1279916663561
2.0,50.0,0.0,9.0,23278.0,1.0,5.0,5.0,59.0,4.0,4.0,0.140106001081414,697.4893865395919,2204.904973295923,424.97304152548907
8.0,32.0,0.0,1.0,11634.0,0.0,15.0,6.0,33.0,2.0,1.0,0.133010418723852,1583.899431837569,4532.566578001199,722.7502261783081
4.0,43.0,0.0,4.0,9759.0,1.0,3.0,1.0,14.0,3.0,1.0,0.150651391755145,2934.546788382423,6673.621010883174,1213.3856383423952
4.0,30.0,0.0,1.0,6407.0,0.0,0.0,3.0,2.0,0.0,0.0,0.172810852468386,3679.282017807331,9511.672273229968,1120.8828178173796
9.0,11.0,0.0,2.0,9275.0,0.0,0.0,3.0,2.0,0.0,1.0,0.112677277284693,2041.9582789223116,5209.285085629737,753.64046204614
7.0,23.0,0.0,1.0,9555.0,0.0,0.0,1.0,10.0,0.0,2.0,0.134506627345477,2144.7584765522897,5038.741603262961,889.1896946934637
15.0,35.0,0.0,2.0,7554.0,1.0,70.0,12.0,66.0,3.0,1.0,0.198685405082753,2809.3148162503408,6587.756714903263,1217.1774665889566
4.0,21.0,0.0,2.0,7621.0,0.0,0.0,3.0,5.0,3.0,1.0,0.151862137641349,2873.360329360065,6693.172680422558,940.7846443269641
3.0,24.0,0.0,0.0,13623.0,0.0,2.0,1.0,7.0,3.0,1.0,0.086867363023639,1375.8798864688783,3819.5622065668645,771.6891537151535
1.0,21.0,0.0,0.0,10459.0,0.0,2.0,1.0,3.0,2.0,0.0,0.169394481688303,2724.252455610642,6500.314612308365,829.688397751922
2.0,23.0,0.0,2.0,7660.0,0.0,1.0,4.0,6.0,0.0,0.0,0.171509785663846,2834.9817032859796,6541.783001166541,1160.3354316546597
1.0,35.0,0.0,4.0,10969.0,0.0,0.0,8.0,6.0,0.0,1.0,0.169320089041463,2718.776719732173,7152.378205350465,1178.5522936453688
13.0,19.0,0.0,2.0,21585.0,0.0,4.0,4.0,31.0,4.0,3.0,0.104540544606654,1084.351353844935,3091.2999921767205,1051.4014508275475
17.0,42.0,0.0,2.0,25840.0,0.0,0.0,4.0,11.0,5.0,13.0,0.107005164044294,684.1049895496269,1760.225197829939,664.888557258907
18.0,23.0,1.0,2.0,9114.0,0.0,0.0,5.0,7.0,0.0,0.0,0.118487453601446,1285.4910716660656,3860.3335485467433,876.2957155201108
10.0,31.0,1.0,4.0,21727.0,0.0,4.0,9.0,16.0,10.0,6.0,0.115468737117391,800.9437734372722,3045.2844530689217,682.075792927147
12.0,42.0,0.0,5.0,17164.0,0.0,17.0,6.0,46.0,0.0,2.0,0.221143822947543,2958.4664645103576,10219.527014409316,1669.7667867611153
23.0,29.0,2.0,1.0,8601.0,1.0,38.0,12.0,71.0,5.0,1.0,0.102431208554606,1106.3221501602388,4674.143460823699,449.0207259819062
3.0,18.0,0.0,1.0,7380.0,1.0,4.0,4.0,15.0,7.0,1.0,0.121988396668884,2035.4733089290942,5849.798650016853,874.8452617173757
11.0,24.0,1.0,2.0,15833.0,0.0,19.0,7.0,81.0,4.0,0.0,0.190002716419707,1737.9849938405812,6629.32000644581,926.2315236635433
7.0,17.0,2.0,4.0,19310.0,0.0,2.0,2.0,13.0,0.0,0.0,0.135297927358333,2300.9181358170813,4539.906797999334,1333.8655859809166
9.0,30.0,2.0,7.0,15647.0,1.0,44.0,8.0,112.0,6.0,3.0,0.187680876960318,2153.6180836325084,6960.037250414994,1064.9237323039333
1.0,34.0,0.0,2.0,21282.0,0.0,6.0,2.0,17.0,1.0,1.0,0.15704022249157,1974.9231012589464,6027.936928469471,1326.4408889052625
11.0,39.0,0.0,2.0,9213.0,0.0,9.0,11.0,36.0,2.0,2.0,0.147296900411942,4016.4294425935,8768.261459182993,1127.0370808577643
4.0,55.0,1.0,1.0,18371.0,0.0,19.0,2.0,42.0,2.0,1.0,0.115396248837457,1103.642684610928,3147.1060928358493,622.9545622120278
6.0,28.0,0.0,1.0,6908.0,0.0,1.0,4.0,2.0,1.0,0.0,0.149514024883544,3493.641253068632,6444.688460494275,525.9840238375912
4.0,49.0,0.0,0.0,13700.0,1.0,8.0,8.0,24.0,3.0,0.0,0.151851546303303,4317.166134580997,11746.472359923277,759.4701956846947
5.0,27.0,0.0,2.0,26669.0,0.0,10.0,4.0,24.0,3.0,0.0,0.16733370360282,3241.517130818337,7406.782666792158,1237.2630153900734
2.0,24.0,0.0,2.0,21431.0,0.0,1.0,0.0,7.0,0.0,1.0,0.201534819573144,3357.195124684825,8421.301505534704,1456.1328251645023
9.0,29.0,0.0,2.0,22025.0,0.0,21.0,3.0,15.0,1.0,1.0,0.119246551734792,1607.3897549757453,5063.6084668063095,611.8664705154587
26.0,48.0,0.0,0.0,19434.0,0.0,8.0,8.0,22.0,3.0,0.0,0.188809648070611,2085.891117760488,6521.022332076877,1759.8400011566443
8.0,47.0,0.0,0.0,15689.0,0.0,16.0,7.0,44.0,2.0,0.0,0.211462158145291,1998.8326033866122,5408.2854909071,1557.6733639470601
3.0,32.0,0.0,1.0,8744.0,0.0,3.0,1.0,23.0,0.0,1.0,0.17968791934228,1767.1930843441985,6088.691115312339,792.1900033267096
18.0,50.0,0.0,2.0,10557.0,0.0,9.0,8.0,23.0,8.0,3.0,0.113934565756352,860.237700336905,2152.409098311328,335.7467817770621
7.0,44.0,0.0,0.0,20782.0,0.0,0.0,1.0,10.0,0.0,1.0,0.184922226761168,2207.3555145640803,6622.066543692241,1212.1928365351903
1.0,42.0,0.0,0.0,19054.0,0.0,3.0,6.0,25.0,1.0,2.0,0.115219332185496,949.6135275076803,2496.736690301092,813.5733873310181
1.0,42.0,0.0,2.0,8854.0,0.0,1.0,13.0,7.0,3.0,1.0,0.091753811610296,566.8374521708669,1385.4174198646776,253.40968449991695
1.0,26.0,0.0,1.0,28357.0,0.0,3.0,1.0,14.0,0.0,0.0,0.132000472903294,1039.760027686621,2869.737676415074,1183.7268007509224
2.0,33.0,0.0,2.0,20813.0,0.0,4.0,5.0,17.0,0.0,0.0,0.143978925468152,1557.6511964579156,4096.201659874464,1212.442012378053
6.0,35.0,0.0,3.0,14031.0,0.0,8.0,5.0,34.0,1.0,0.0,0.119547925250165,1632.6705039147366,3710.6147816244015,880.4276890945171
6.0,53.0,0.0,9.0,11210.0,5.0,29.0,4.0,81.0,4.0,0.0,0.138793636259995,1906.941158873049,4609.692407669497,573.5838761334683
3.0,42.0,0.0,2.0,26533.0,0.0,2.0,5.0,14.0,0.0,4.0,0.089803348172043,846.5508026559755,1845.187572022873,557.0377575918108
2.0,57.0,0.0,2.0,24872.0,0.0,1.0,2.0,8.0,1.0,1.0,0.146327342008149,1214.7122593176587,2889.707863533713,729.9167836258578
6.0,46.0,0.0,2.0,17685.0,1.0,23.0,7.0,60.0,1.0,1.0,0.190141594093037,2738.5075993263736,6276.190568105969,1443.8435008121542
10.0,35.0,0.0,3.0,26742.0,0.0,3.0,0.0,17.0,7.0,1.0,0.181928472684162,2361.8534497971373,7097.45885543573,1457.566990428964
3.0,46.0,0.0,3.0,27008.0,0.0,3.0,2.0,19.0,1.0,1.0,0.125699197529076,1042.978691490427,2676.5023955142465,650.0757597645812
1.0,22.0,0.0,2.0,26462.0,0.0,2.0,0.0,6.0,0.0,0.0,0.152730663008295,2490.4199360775756,8939.077144859455,953.0377967671169
10.0,43.0,0.0,2.0,19391.0,0.0,3.0,2.0,15.0,0.0,0.0,0.18341450013221,2341.668602593147,6324.858662782998,1794.494783394246
19.0,15.0,0.0,4.0,26821.0,0.0,27.0,3.0,61.0,10.0,0.0,0.175713440303494,2455.188298211675,8287.120166232684,1664.301311392788
13.0,37.0,0.0,5.0,27057.0,1.0,17.0,9.0,28.0,4.0,2.0,0.149453030753181,1558.8288840192201,5843.3023551844735,1305.1732963829566
3.0,51.0,0.0,3.0,23760.0,0.0,5.0,4.0,21.0,1.0,0.0,0.171633531262087,1677.3816348518437,4108.052150107126,1563.5123854885333
12.0,87.0,0.0,0.0,7110.0,0.0,5.0,7.0,25.0,0.0,5.0,0.18657259368021,677.8783660614231,1594.4050553798913,307.46102996306445
13.0,35.0,0.0,3.0,10299.0,0.0,2.0,3.0,10.0,0.0,3.0,0.193968241323668,2839.763844918154,8662.119893818393,1335.8652406567649
7.0,20.0,0.0,4.0,30326.0,0.0,2.0,5.0,11.0,0.0,0.0,0.149586063201375,2316.7707467813466,3389.1275000411065,1252.4166558593463
9.0,27.0,0.0,5.0,21042.0,0.0,4.0,3.0,16.0,0.0,1.0,0.140753339378778,2523.1959931856477,4202.200018390968,1416.3665240558842
28.0,60.0,2.0,2.0,27036.0,0.0,4.0,4.0,16.0,6.0,32.0,0.048866268748746,122.39997388463543,253.23055821540646,105.85099782370257
2.0,35.0,0.0,2.0,11051.0,0.0,0.0,5.0,5.0,2.0,0.0,0.213181197839097,3851.7792231736557,8785.724990000863,1027.1411261796416
9.0,31.0,0.0,0.0,28527.0,0.0,9.0,4.0,20.0,3.0,0.0,0.164900362192146,1592.7651072906126,3007.2645334732733,1542.385675673148
8.0,43.0,0.0,5.0,18475.0,0.0,41.0,9.0,89.0,4.0,1.0,0.161839570691805,1957.6904798210358,4425.929735854392,1190.1068024811332
14.0,43.0,1.0,5.0,17828.0,0.0,41.0,7.0,43.0,1.0,0.0,0.145207473073869,1700.6101115673157,4149.3568419830435,1090.8952459860107
23.0,37.0,0.0,4.0,14920.0,1.0,22.0,11.0,118.0,4.0,1.0,0.118326584192902,1609.649672962744,3674.4624556958524,780.7102346392336
1.0,28.0,1.0,2.0,9593.0,1.0,2.0,3.0,10.0,0.0,0.0,0.169353800345582,1851.6750142689048,3992.9793365693254,647.5981157109175
8.0,55.0,1.0,10.0,21850.0,0.0,36.0,8.0,182.0,8.0,2.0,0.178060707018096,1567.3595845129512,6509.008844492904,1441.4835557049164
3.0,24.0,0.0,0.0,21591.0,0.0,5.0,5.0,17.0,11.0,2.0,0.111137714869619,1462.0668012064555,4791.1355716005655,838.5383124566436
5.0,40.0,0.0,1.0,22353.0,0.0,1.0,2.0,10.0,1.0,1.0,0.153870331684355,1854.355751168743,3787.3628066284928,1016.416855453014
21.0,55.0,0.0,3.0,25046.0,0.0,1.0,5.0,6.0,0.0,2.0,0.160618524869625,1674.0816747727345,4114.391621513033,1775.7612558869137
12.0,38.0,0.0,2.0,28084.0,0.0,5.0,5.0,6.0,1.0,0.0,0.134123216397626,1090.8310570089698,2161.320276124998,1009.463705437205
4.0,28.0,0.0,4.0,28623.0,0.0,6.0,3.0,38.0,1.0,0.0,0.162006006968928,1708.4295518913698,5054.472922953223,1190.5895063698924
19.0,50.0,1.0,5.0,18422.0,0.0,1.0,7.0,10.0,1.0,3.0,0.171363759875454,1482.9275892758521,4075.5738199697144,954.4901409815619
8.0,31.0,0.0,5.0,24436.0,0.0,8.0,4.0,26.0,0.0,0.0,0.113578315370241,1201.6108447196925,3471.320218079112,1155.0367809708673
3.0,28.0,0.0,4.0,27397.0,0.0,3.0,8.0,11.0,5.0,1.0,0.114036720292905,1097.3745838771881,2503.3857694698354,801.9275805256374
7.0,77.0,1.0,3.0,25629.0,0.0,1.0,33.0,7.0,3.0,27.0,0.076248877577904,266.95560260198187,668.5233787539715,240.48691679158705
5.0,49.0,0.0,5.0,28804.0,0.0,22.0,9.0,52.0,5.0,0.0,0.162724731956414,1189.2404577980953,2694.644842181538,922.3865014141325
