code,lsoa,borough,ACCOMM,EDU,FOOD,PARK,SHOP,TRANSPORT,WORK,ENTERTAIN,ATTRACT,SWI,count,WORKs,EDU_jnb,FOOD_jnb,SHOP_jnb,TRANSPORT_jnb,WORK_jnb,ENTERTAIN_jnb,ATTRACT_jnb,ACCOMM_jnb,PARK_jnb
E01000049,Barking and Dagenham 021C,Barking and Dagenham,0.0,1.0,1.0,0.0,8.0,3.0,20.0,1.0,13.0,9.0,7.0,20.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
E01000050,Barking and Dagenham 019C,Barking and Dagenham,0.0,4.0,4.0,0.0,4.0,2.0,19.0,2.0,2.0,2.0,2.0,19.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01000051,Barking and Dagenham 021D,Barking and Dagenham,0.0,4.0,0.0,0.0,1.0,2.0,2.0,2.0,10.0,5.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
E01000052,Barking and Dagenham 019D,Barking and Dagenham,0.0,0.0,1.0,0.0,3.0,2.0,20.0,1.0,0.0,4.0,4.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000053,Barking and Dagenham 020A,Barking and Dagenham,0.0,3.0,8.0,0.0,11.0,2.0,23.0,2.0,0.0,3.0,3.0,23.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
E01000055,Barking and Dagenham 018B,Barking and Dagenham,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E01000056,Barking and Dagenham 018C,Barking and Dagenham,1.0,3.0,2.0,1.0,1.0,0.0,8.0,4.0,2.0,2.0,2.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0
E01000057,Barking and Dagenham 012A,Barking and Dagenham,0.0,1.0,3.0,0.0,9.0,5.0,23.0,2.0,0.0,6.0,6.0,23.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
E01000058,Barking and Dagenham 018D,Barking and Dagenham,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,5.0,3.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
E01000060,Barking and Dagenham 006B,Barking and Dagenham,0.0,2.0,4.0,2.0,8.0,8.0,19.0,5.0,1.0,13.0,11.0,19.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0
